Port_IDs,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,Trade_Types,Rank
3819545518395756033,0.013350884236068538,980.06319996,3.408620637410301,0.0,0.38235294117647056,26,68,"BUY_BOTH, SELL_BOTH",82.25
3931992636670880512,0.011133624280866318,10374.96528998,0.8063658745635321,-1.5063609747461658e+106,0.40165289256198344,2430,6050,"BUY_BOTH, SELL_BOTH",71.5
4022641794255717633,0.035947538657216574,2176.83382376,8.86968470968658,-32.661570601780085,0.43522802379378717,2634,6052,"SELL_SHORT, BUY_SHORT",45.5
3672754654734989568,0.009177759201397554,566.59765978,2.941141153542514,-3182243787.8666806,0.4430379746835443,210,474,"SELL_LONG, BUY_SHORT, SELL_SHORT, BUY_LONG",84.5
4022565861939831809,0.004692666550330663,14197.577075890002,4.756040143751888,-4.008892453257693e+41,0.5276595744680851,372,705,"BUY_LONG, BUY_SHORT, SELL_SHORT, SELL_LONG",42.0
3942630767220672256,0.010773639747472606,6611.89848042,1.0791441239414574,-inf,0.3829744415375327,1903,4969,"BUY_BOTH, SELL_BOTH",75.0
4027747397961573889,0.003599368886138821,2638.2194499600005,1.4248994573442952,-230251598635619.22,0.45,207,460,"BUY_LONG, BUY_SHORT, SELL_SHORT, SELL_LONG",89.25
3786761687746711808,0.006265104832208867,205.02139999,3.4154082704322537,-60.701297770000004,0.45121951219512196,37,82,"BUY_LONG, SELL_LONG, SELL_SHORT, BUY_SHORT",85.5
3999845462424248576,0.017346599461112423,5843.152606810001,3.586601550245356,-inf,0.4349005424954792,1443,3318,"SELL_BOTH, BUY_BOTH",45.0
4032403303704824321,0.005293010790873998,2060.57051952,1.7118061008665586,-125151.60896641097,0.5515695067264574,123,223,"BUY_BOTH, SELL_BOTH",82.5
4035034554469394176,0.04289273434384598,2517.3207997300005,1.7298086934340735,-2.389248067762669e+56,0.1670886075949367,66,395,"SELL_BOTH, BUY_BOTH",86.5
3944088772635000577,0.013902423589557497,7581.491983399999,4.748717368194191,-5.6341824,0.4575292759360053,2774,6063,"SELL_BOTH, BUY_BOTH",37.25
3946087913459823360,-0.0010932811682877249,-40.667241669999996,-0.09061953297222387,-869657098606955.9,0.3171733771569433,1930,6085,"SELL_BOTH, BUY_BOTH",133.5
4004713168329653760,0.0663494269696239,1667.19861,4.403764880780158,0.0,0.07407407407407407,2,27,"BUY_SHORT, SELL_SHORT",74.75
3930688517098515713,0.005709441622667064,1947.24457347,1.001917472829838,-1.4304206674503618e+27,0.4861111111111111,140,288,"BUY_SHORT, SELL_SHORT, SELL_LONG, BUY_LONG",92.75
3949329502284748801,0.021531172746242205,425.96505789,2.160066247197727,-958437.0907244077,0.1875,72,384,"SELL_BOTH, BUY_BOTH",99.5
3784403294629753856,0.006673623441311455,2521.81430468,1.6919854689621676,-inf,0.3023140495867769,1829,6050,"BUY_SHORT, SELL_SHORT, BUY_LONG, SELL_LONG",98.25
3977078013600312321,0.0037097965545952964,4622.351437599999,1.4228143864179337,-inf,0.32642487046632124,1638,5018,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",93.5
4013955990069013504,0.014165346843692993,1690.02704985,3.639759622172963,-4871.875701631441,0.659217877094972,236,358,"SELL_LONG, BUY_SHORT, SELL_SHORT, BUY_LONG",56.75
3951723256343550465,0.004040978080107624,5260.022863890001,0.9267260466847755,-7.944524153078609e+18,0.3524804177545692,1215,3447,"BUY_LONG, SELL_SHORT, SELL_LONG, BUY_SHORT",93.0
3858510226868015873,-0.0007163627414531466,-280.97295039,-0.215230589778499,-9247174630782.412,0.24397590361445784,243,996,"SELL_BOTH, BUY_BOTH",138.5
4030708912786799105,0.06613749915510694,1612.84376999,2.923149160840522,0.0,0.03333333333333333,2,60,"BUY_SHORT, SELL_SHORT",86.25
4030635536196756737,0.005755627730804159,2581.61417484,1.4366307591441627,-22333915.03926577,0.5247295208655333,679,1294,"SELL_BOTH, BUY_BOTH",79.5
4030392204221219329,0.08040365167084089,1347.75800996,3.186483595700628,0.0,0.09411764705882353,8,85,"SELL_BOTH, BUY_BOTH",83.75
4008711265867865600,0.006183868005027596,11298.706389769999,4.227216227299963,-8.023897015998404e+97,0.4213197969543147,166,394,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",53.25
3962024093501274881,0.002877959317625179,9314.494060179999,1.1757800129907425,-inf,0.26472898664571876,337,1273,"BUY_LONG, BUY_SHORT, SELL_LONG, SELL_SHORT",95.5
4039279455324236544,0.01588587736302084,1038.8074192600002,7.487745556065068,0.0,0.5535168195718655,181,327,"BUY_LONG, SELL_LONG",50.5
4029507714735307777,0.07086930847032033,1537.89995998,3.1090598831564917,0.0,0.03773584905660377,2,53,"BUY_SHORT, SELL_SHORT, SELL_LONG, BUY_LONG",84.75
4031408429897920512,0.07986704848527834,1351.26659997,2.5054831740440053,0.0,0.04878048780487805,4,82,"SELL_BOTH, BUY_BOTH",88.25
4016164457907769600,0.0025117495434876535,3742.6873197200002,2.5009361508949075,-3.237938571223248e+60,0.4353932584269663,310,712,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",77.75
3865845304835489536,0.014198052007023707,1406.06618669,3.8666294649320574,-26.65175795,0.5113378684807256,451,882,"BUY_BOTH, SELL_BOTH",62.0
3733192481840423936,0.0050346191244008765,2923.97719988,0.9566841642556329,-inf,0.8026124818577649,553,689,"SELL_LONG, BUY_LONG",77.25
